GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	TAXON ID	GENE_PRODUCT_NAME	GO ASPECT
UniProtKB	Q61548	Snap91	acts_upstream_of_or_within	GO:0048488	synaptic vesicle endocytosis	10090	Clathrin coat assembly protein AP180	P
UniProtKB	Q61548	Snap91	part_of	GO:0043679	axon terminus	10090	Clathrin coat assembly protein AP180	C
UniProtKB	Q61548	Snap91	involved_in	GO:0007269	neurotransmitter secretion	10090	Clathrin coat assembly protein AP180	P
UniProtKB	Q61548	Snap91	part_of	GO:0098833	presynaptic endocytic zone	10090	Clathrin coat assembly protein AP180	C
UniProtKB	Q61548	Snap91	part_of	GO:0098894	extrinsic component of presynaptic endocytic zone membrane	10090	Clathrin coat assembly protein AP180	C
UniProtKB	Q61548	Snap91	involved_in	GO:0016185	synaptic vesicle budding from presynaptic endocytic zone membrane	10090	Clathrin coat assembly protein AP180	P
UniProtKB	Q61548	Snap91	part_of	GO:0098830	presynaptic endosome	10090	Clathrin coat assembly protein AP180	C
UniProtKB	Q61584	Fxr1	part_of	GO:0098793	presynapse	10090	Fragile X mental retardation syndrome-related protein 1	C
UniProtKB	Q61616	Drd1	part_of	GO:0099056	integral component of presynaptic membrane	10090	D(1A) dopamine receptor	C
UniProtKB	Q61616	Drd1	part_of	GO:0043679	axon terminus	10090	D(1A) dopamine receptor	C
UniProtKB	Q61616	Drd1	part_of	GO:0099056	integral component of presynaptic membrane	10090	D(1A) dopamine receptor	C
UniProtKB	Q61626	Grik5	part_of	GO:0042734	presynaptic membrane	10090	Glutamate receptor ionotropic, kainate 5	C
UniProtKB	Q61626	Grik5	part_of	GO:0042734	presynaptic membrane	10090	Glutamate receptor ionotropic, kainate 5	C
UniProtKB	Q61626	Grik5	part_of	GO:0043195	terminal bouton	10090	Glutamate receptor ionotropic, kainate 5	C
UniProtKB	Q61626	Grik5	part_of	GO:0099056	integral component of presynaptic membrane	10090	Glutamate receptor ionotropic, kainate 5	C
UniProtKB	Q61626	Grik5	part_of	GO:0043195	terminal bouton	10090	Glutamate receptor ionotropic, kainate 5	C
UniProtKB	Q61626	Grik5	part_of	GO:0099056	integral component of presynaptic membrane	10090	Glutamate receptor ionotropic, kainate 5	C
UniProtKB	Q61626	Grik5	part_of	GO:0099056	integral component of presynaptic membrane	10090	Glutamate receptor ionotropic, kainate 5	C
UniProtKB	Q61644	Pacsin1	involved_in	GO:0048488	synaptic vesicle endocytosis	10090	Protein kinase C and casein kinase substrate in neurons protein 1	P
UniProtKB	Q61644	Pacsin1	part_of	GO:0043679	axon terminus	10090	Protein kinase C and casein kinase substrate in neurons protein 1	C
UniProtKB	Q61644	Pacsin1	part_of	GO:0043679	axon terminus	10090	Protein kinase C and casein kinase substrate in neurons protein 1	C
UniProtKB	Q61644	Pacsin1	involved_in	GO:0048488	synaptic vesicle endocytosis	10090	Protein kinase C and casein kinase substrate in neurons protein 1	P
UniProtKB	Q61644	Pacsin1	involved_in	GO:0048488	synaptic vesicle endocytosis	10090	Protein kinase C and casein kinase substrate in neurons protein 1	P
UniProtKB	Q61644	Pacsin1	involved_in	GO:0048488	synaptic vesicle endocytosis	10090	Protein kinase C and casein kinase substrate in neurons protein 1	P
